n;q=2;q=3;q=4;q=5;q=6;q=10;q=16
500;137.17;104.14;115.62;104.40;105.59;109.15;106.61
1000;1124.77;839.29;839.10;810.81;745.80;780.40;775.61
1500;4971.07;3467.94;3022.60;2796.62;2541.26;2563.06;2557.63
2000;11898.12;8572.39;8036.95;7498.11;6633.15;6107.73;6006.45
2500;26171.80;18257.40;17175.46;16455.39;13926.82;11974.07;11650.23
3000;40755.68;29651.77;29096.04;27567.85;25067.90;21070.39;20043.21
