n;q=2;q=3;q=4;q=5;q=6;q=10;q=16
500;241.36;244.34;245.96;247.49;260.20;259.90;266.70
1000;2222.68;2104.07;2096.29;2277.51;2234.86;2172.17;2087.18
1500;8398.75;7696.01;7280.42;7110.42;7153.25;7125.36;7077.67
2000;23415.44;19496.91;18459.43;17822.64;17146.60;16813.17;16868.28
2500;60201.13;42493.74;37379.10;35761.30;35101.49;32770.49;33166.58
3000;91571.39;75261.67;65215.99;60892.43;60733.07;56984.94;57075.34
